161	1814
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
10	11
10	12
10	13
10	14
10	15
11	13
11	1
11	3
11	16
11	17
11	18
11	19
11	20
11	21
11	22
11	23
11	24
11	25
11	26
11	27
11	28
11	29
12	13
12	30
12	31
12	32
12	33
12	34
12	35
12	36
13	1
13	3
13	16
13	17
13	18
13	33
13	19
13	20
13	21
13	22
13	23
13	24
13	25
13	26
13	27
13	28
13	29
1	3
1	5
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
2	3
2	5
2	8
2	9
2	16
2	37
2	38
3	5
3	16
3	17
3	18
3	39
3	19
3	20
3	21
3	22
3	23
3	24
3	25
3	26
3	27
3	28
3	29
4	5
4	6
4	40
4	41
4	30
4	42
4	43
4	44
4	45
4	46
4	47
4	48
4	49
4	32
4	50
4	39
4	51
4	52
4	53
4	54
4	55
4	56
4	57
4	58
4	59
4	60
4	61
4	62
4	63
4	64
4	65
4	66
4	33
4	67
4	68
4	69
4	70
4	71
4	72
4	73
4	74
4	75
4	76
4	77
4	78
4	79
4	80
4	81
4	82
4	83
4	84
4	85
4	86
4	87
4	88
4	89
5	43
5	44
5	45
5	46
5	16
5	47
5	48
5	49
5	32
5	50
5	39
5	86
5	19
5	37
6	40
6	41
6	30
6	42
6	51
6	52
6	53
6	54
6	55
6	56
6	57
6	58
6	59
6	60
6	61
6	62
6	63
6	64
6	65
6	66
6	33
6	67
6	68
6	69
6	70
6	71
6	72
6	73
6	74
6	75
6	76
6	77
6	78
6	79
6	80
6	81
6	82
6	83
6	84
6	85
6	86
6	87
6	88
6	89
6	90
6	91
6	92
6	93
6	94
6	95
6	96
6	97
6	98
6	99
6	100
7	9
7	41
7	30
7	51
7	54
7	57
7	68
7	69
7	101
7	102
7	103
7	104
7	90
7	105
7	106
7	107
7	108
8	9
8	44
8	109
8	110
8	18
8	111
9	69
9	101
14	112
14	113
14	114
14	40
14	41
14	115
14	30
14	31
112	113
112	114
112	40
112	41
112	115
112	30
112	31
112	15
112	57
112	73
112	75
112	116
112	117
112	118
112	119
112	120
113	114
113	40
113	41
113	115
113	30
113	31
114	40
114	41
114	115
114	30
114	31
114	121
114	116
40	41
40	115
40	30
40	31
40	42
40	48
40	51
40	52
40	53
40	54
40	55
40	56
40	57
40	58
40	59
40	60
40	61
40	62
40	63
40	64
40	65
40	66
40	33
40	67
40	68
40	69
40	70
40	71
40	72
40	73
40	74
40	75
40	76
40	77
40	78
40	79
40	80
40	81
40	82
40	83
40	84
40	85
40	86
40	87
40	88
40	89
40	19
40	122
40	123
41	115
41	30
41	31
41	121
41	42
41	51
41	52
41	53
41	54
41	55
41	56
41	57
41	58
41	59
41	60
41	61
41	62
41	63
41	64
41	65
41	66
41	33
41	67
41	68
41	69
41	70
41	71
41	72
41	73
41	74
41	75
41	76
41	77
41	78
41	79
41	80
41	81
41	82
41	83
41	84
41	85
41	86
41	87
41	88
41	89
41	116
41	124
41	102
41	125
41	126
41	127
41	117
41	128
41	129
41	118
41	103
41	119
41	130
41	131
41	104
41	132
41	90
41	120
41	133
41	134
41	34
115	30
115	31
115	109
115	15
115	75
115	37
115	135
115	116
115	117
115	118
115	120
30	31
30	42
30	51
30	53
30	54
30	55
30	56
30	57
30	58
30	59
30	60
30	62
30	63
30	64
30	65
30	66
30	33
30	67
30	68
30	69
30	70
30	71
30	72
30	73
30	74
30	75
30	76
30	77
30	78
30	79
30	80
30	81
30	82
30	83
30	84
30	85
30	86
30	87
30	88
30	89
30	116
30	124
30	125
30	127
30	117
30	129
30	130
30	131
30	90
30	134
30	34
30	35
30	36
31	54
31	59
31	73
31	116
31	124
31	125
31	117
31	129
31	130
31	134
31	34
31	35
31	36
136	121
136	137
136	42
136	138
136	139
121	137
121	42
121	138
121	139
121	57
121	68
121	83
121	19
121	140
121	116
121	117
121	120
121	133
137	42
137	138
137	139
137	68
137	83
137	140
42	138
42	139
42	51
42	52
42	53
42	54
42	55
42	56
42	57
42	58
42	59
42	60
42	61
42	62
42	63
42	64
42	65
42	66
42	33
42	67
42	68
42	69
42	70
42	71
42	72
42	73
42	74
42	75
42	76
42	77
42	78
42	79
42	80
42	81
42	82
42	83
42	84
42	85
42	86
42	87
42	88
42	89
42	90
42	91
42	92
42	93
42	94
42	95
42	96
42	97
42	98
42	99
42	100
138	139
138	68
138	83
138	140
43	44
43	45
43	46
43	47
43	48
43	49
43	32
43	50
43	39
44	109
44	45
44	46
44	16
44	17
44	47
44	110
44	48
44	49
44	18
44	32
44	111
44	50
44	39
109	45
109	110
109	18
109	111
109	15
109	68
109	75
109	101
109	135
109	124
109	90
109	141
109	142
45	46
45	47
45	48
45	49
45	32
45	50
45	39
45	15
46	47
46	48
46	49
46	32
46	50
46	39
16	17
16	18
16	32
16	111
16	39
16	68
16	19
16	37
16	20
16	38
16	21
16	22
16	23
16	101
16	24
16	25
16	26
16	27
16	28
16	29
17	18
17	111
17	19
17	20
17	21
17	22
17	23
17	24
17	25
17	26
17	27
17	28
17	29
47	48
47	49
47	32
47	50
47	39
110	18
110	111
110	37
48	49
48	32
48	50
48	39
48	82
49	32
49	50
49	39
49	143
49	144
18	32
18	111
18	19
18	37
18	20
18	21
18	22
18	23
18	24
18	25
18	26
18	27
18	28
18	29
18	145
32	50
32	39
32	144
32	20
111	15
111	116
111	124
50	39
39	19
39	144
39	146
39	147
15	68
15	75
15	124
15	90
15	142
51	53
51	54
51	55
51	56
51	57
51	58
51	59
51	60
51	61
51	62
51	63
51	64
51	65
51	66
51	33
51	67
51	68
51	69
51	70
51	71
51	72
51	73
51	74
51	75
51	76
51	77
51	78
51	79
51	80
51	81
51	82
51	83
51	84
51	85
51	86
51	87
51	88
51	89
51	102
51	90
52	53
52	54
52	55
52	56
52	57
52	58
52	59
52	60
52	61
52	63
52	64
52	65
52	66
52	33
52	67
52	68
52	69
